Hugo_Symbol	Tumor_Sample_Barcode
TP53	TCGA-0768
TP53	TCGA-0546
TP53	TCGA-0993
TP53	TCGA-0044
TP53	TCGA-0895
TP53	TCGA-0197
TP53	TCGA-0070
TP53	TCGA-0171
TP53	TCGA-0481
TP53	TCGA-0219
TP53	TCGA-0505
TP53	TCGA-0336
TP53	TCGA-0744
TP53	TCGA-0072
TP53	TCGA-0013
TP53	TCGA-0447
TP53	TCGA-0046
TP53	TCGA-0267
TP53	TCGA-0924
TP53	TCGA-0574
TP53	TCGA-0812
TP53	TCGA-0875
TP53	TCGA-0163
TP53	TCGA-0094
TP53	TCGA-0233
TP53	TCGA-1040
TP53	TCGA-0383
TP53	TCGA-0255
TP53	TCGA-0750
TP53	TCGA-0545
TP53	TCGA-0930
TP53	TCGA-0278
TP53	TCGA-0385
TP53	TCGA-0104
TP53	TCGA-0683
TP53	TCGA-0770
TP53	TCGA-0111
TP53	TCGA-1035
TP53	TCGA-0850
TP53	TCGA-0247
TP53	TCGA-0774
TP53	TCGA-0655
TP53	TCGA-0933
TP53	TCGA-0919
TP53	TCGA-0220
TP53	TCGA-0897
TP53	TCGA-0586
TP53	TCGA-0539
TP53	TCGA-0489
TP53	TCGA-0503
TP53	TCGA-1046
TP53	TCGA-0321
TP53	TCGA-0516
TP53	TCGA-1020
TP53	TCGA-0675
TP53	TCGA-0146
TP53	TCGA-0348
TP53	TCGA-0553
TP53	TCGA-0558
TP53	TCGA-1009
TP53	TCGA-0462
TP53	TCGA-0998
TP53	TCGA-0175
TP53	TCGA-0992
TP53	TCGA-0125
TP53	TCGA-0011
TP53	TCGA-0430
TP53	TCGA-0434
TP53	TCGA-0600
TP53	TCGA-0578
TP53	TCGA-0441
TP53	TCGA-0092
TP53	TCGA-0636
TP53	TCGA-0015
TP53	TCGA-0814
TP53	TCGA-0561
TP53	TCGA-0479
TP53	TCGA-0060
TP53	TCGA-0800
TP53	TCGA-0388
TP53	TCGA-0786
TP53	TCGA-0360
TP53	TCGA-0164
TP53	TCGA-0279
TP53	TCGA-0552
TP53	TCGA-0719
TP53	TCGA-0657
TP53	TCGA-0406
TP53	TCGA-0026
TP53	TCGA-0510
TP53	TCGA-1013
TP53	TCGA-0379
TP53	TCGA-0649
TP53	TCGA-0103
TP53	TCGA-0635
TP53	TCGA-0626
TP53	TCGA-0837
TP53	TCGA-0849
TP53	TCGA-0294
TP53	TCGA-0886
TP53	TCGA-0362
TP53	TCGA-0617
TP53	TCGA-0089
TP53	TCGA-0184
TP53	TCGA-1039
TP53	TCGA-0699
TP53	TCGA-0356
TP53	TCGA-0326
TP53	TCGA-0264
TP53	TCGA-0093
TP53	TCGA-0333
TP53	TCGA-0330
TP53	TCGA-0684
TP53	TCGA-0763
TP53	TCGA-0769
TP53	TCGA-0967
TP53	TCGA-0251
TP53	TCGA-0474
TP53	TCGA-0426
TP53	TCGA-0619
TP53	TCGA-0493
TP53	TCGA-0751
TP53	TCGA-0007
TP53	TCGA-0095
TP53	TCGA-0592
TP53	TCGA-0594
TP53	TCGA-0207
TP53	TCGA-0789
TP53	TCGA-0123
TP53	TCGA-0801
TP53	TCGA-0597
TP53	TCGA-0651
TP53	TCGA-0506
TP53	TCGA-0231
TP53	TCGA-0711
TP53	TCGA-0460
TP53	TCGA-0900
TP53	TCGA-0727
